bucket	static	name	file	line
engine	false	cave_known	reference/src/cave-map.c	633
engine	false	square_isfloor	reference/src/cave-square.c	212
engine	false	square_istrappable	reference/src/cave-square.c	220
engine	false	square_isgranite	reference/src/cave-square.c	245
engine	false	square_ismagma	reference/src/cave-square.c	262
engine	false	square_isquartz	reference/src/cave-square.c	270
engine	false	square_iscloseddoor	reference/src/cave-square.c	321
engine	false	square_isdoor	reference/src/cave-square.c	340
engine	false	square_isstairs	reference/src/cave-square.c	349
engine	false	square_isupstairs	reference/src/cave-square.c	358
engine	false	square_isdownstairs	reference/src/cave-square.c	367
engine	false	square_isoccupied	reference/src/cave-square.c	391
engine	false	square_ismark	reference/src/cave-square.c	424
engine	false	square_isglow	reference/src/cave-square.c	432
engine	false	square_wasseen	reference/src/cave-square.c	474
engine	false	square_isfeel	reference/src/cave-square.c	482
engine	false	square_isinvis	reference/src/cave-square.c	498
engine	false	square_iswall_inner	reference/src/cave-square.c	506
engine	false	square_iswall_solid	reference/src/cave-square.c	522
engine	false	square_ismon_restrict	reference/src/cave-square.c	530
engine	false	square_isno_teleport	reference/src/cave-square.c	538
engine	false	square_isno_map	reference/src/cave-square.c	546
engine	false	square_isproject	reference/src/cave-square.c	562
engine	false	square_is_monster_walkable	reference/src/cave-square.c	655
engine	false	square_isnoflow	reference/src/cave-square.c	738
engine	false	square_isnoscent	reference/src/cave-square.c	746
engine	false	square_isunlockeddoor	reference/src/cave-square.c	791
engine	false	square_issecrettrap	reference/src/cave-square.c	815
engine	false	square_feat	reference/src/cave-square.c	969
engine	false	square_light	reference/src/cave-square.c	975
engine	false	square_excise_pile	reference/src/cave-square.c	1031
engine	false	square_excise_all_imagined	reference/src/cave-square.c	1051
engine	false	square_set_mon	reference/src/cave-square.c	1283
engine	false	square_set_obj	reference/src/cave-square.c	1291
engine	false	square_set_trap	reference/src/cave-square.c	1299
engine	false	square_add_trap	reference/src/cave-square.c	1304
engine	false	square_add_web	reference/src/cave-square.c	1331
engine	false	square_add_door	reference/src/cave-square.c	1347
engine	false	square_close_door	reference/src/cave-square.c	1361
engine	false	square_unlock_door	reference/src/cave-square.c	1377
engine	false	square_destroy_door	reference/src/cave-square.c	1382
engine	false	square_tunnel_wall	reference/src/cave-square.c	1414
engine	false	square_destroy_rubble	reference/src/cave-square.c	1502
engine	false	square_force_floor	reference/src/cave-square.c	1507
engine	false	square_mark	reference/src/cave-square.c	1585
engine	false	get_feat_code_name	reference/src/cave.c	336
engine	false	cave_connectors_free	reference/src/cave.c	381
engine	false	object_lists_check_integrity	reference/src/cave.c	503
engine	false	do_cmd_navigate_down	reference/src/cmd-cave.c	1408
engine	false	do_cmd_navigate_up	reference/src/cmd-cave.c	1454
engine	false	cmd_release	reference/src/cmd-core.c	196
engine	false	cmd_disable_repeat_floor_item	reference/src/cmd-core.c	548
engine	false	cmd_set_arg_choice	reference/src/cmd-core.c	674
engine	false	cmd_set_arg_string	reference/src/cmd-core.c	810
engine	false	cmd_get_arg_string	reference/src/cmd-core.c	823
engine	false	cmd_get_string	reference/src/cmd-core.c	840
engine	false	cmd_set_arg_direction	reference/src/cmd-core.c	873
engine	false	cmd_get_arg_direction	reference/src/cmd-core.c	883
engine	false	cmd_set_arg_target	reference/src/cmd-core.c	931
engine	false	cmd_get_arg_target	reference/src/cmd-core.c	941
engine	false	cmd_set_arg_point	reference/src/cmd-core.c	979
engine	false	cmd_get_arg_point	reference/src/cmd-core.c	989
engine	false	cmd_set_arg_number	reference/src/cmd-core.c	1084
engine	false	cmd_get_quantity	reference/src/cmd-core.c	1108
engine	false	do_cmd_try_borg	reference/src/cmd-misc.c	125
engine	false	do_cmd_read_scroll	reference/src/cmd-obj.c	739
engine	false	do_cmd_eat_food	reference/src/cmd-obj.c	900
engine	false	do_cmd_quaff_potion	reference/src/cmd-obj.c	917
engine	false	do_cmd_cast	reference/src/cmd-obj.c	1113
engine	false	do_cmd_study	reference/src/cmd-obj.c	1245
engine	false	do_cmd_spoil_artifact	reference/src/cmd-spoil.c	28
engine	false	do_cmd_spoil_monster	reference/src/cmd-spoil.c	37
engine	false	do_cmd_spoil_monster_brief	reference/src/cmd-spoil.c	47
engine	false	do_cmd_spoil_obj	reference/src/cmd-spoil.c	56
engine	false	do_cmd_wiz_change_item_quantity	reference/src/cmd-wizard.c	484
engine	false	do_cmd_wiz_collect_disconnect_stats	reference/src/cmd-wizard.c	585
engine	false	do_cmd_wiz_collect_obj_mon_stats	reference/src/cmd-wizard.c	622
engine	false	do_cmd_wiz_collect_pit_stats	reference/src/cmd-wizard.c	671
engine	false	do_cmd_wiz_quit_no_save	reference/src/cmd-wizard.c	2149
engine	false	run_parser	reference/src/datafile.c	45
engine	false	parse_file_quit_not_found	reference/src/datafile.c	71
engine	false	parse_file	reference/src/datafile.c	87
engine	false	cleanup_parser	reference/src/datafile.c	144
engine	false	lookup_flag	reference/src/datafile.c	149
engine	false	grab_base_and_int	reference/src/datafile.c	410
engine	false	grab_name	reference/src/datafile.c	433
engine	false	write_flags	reference/src/datafile.c	482
engine	false	write_mods	reference/src/datafile.c	520
engine	false	write_elements	reference/src/datafile.c	569
engine	false	set_archive_user_prefix	reference/src/datafile.c	617
engine	false	file_archive	reference/src/datafile.c	626
engine	false	randart_file_exists	reference/src/datafile.c	658
engine	false	activate_randart_file	reference/src/datafile.c	673
engine	false	deactivate_randart_file	reference/src/datafile.c	692
engine	false	effect_handler_BOLT_OR_BEAM	reference/src/effect-handler-attack.c	158
engine	false	effect_handler_HEAL_HP	reference/src/effect-handler-attack.c	201
engine	false	effect_handler_MON_HEAL_HP	reference/src/effect-handler-attack.c	254
engine	false	effect_handler_MON_HEAL_KIN	reference/src/effect-handler-attack.c	311
engine	false	effect_handler_BOLT_STATUS	reference/src/effect-handler-attack.c	368
engine	false	effect_handler_BOLT_STATUS_DAM	reference/src/effect-handler-attack.c	383
engine	false	effect_handler_BOLT_AWARE	reference/src/effect-handler-attack.c	398
engine	false	effect_handler_TOUCH_AWARE	reference/src/effect-handler-attack.c	446
engine	false	effect_handler_DAMAGE	reference/src/effect-handler-attack.c	458
engine	false	effect_handler_PROJECT_LOS_AWARE	reference/src/effect-handler-attack.c	1125
engine	false	effect_handler_DESTRUCTION	reference/src/effect-handler-attack.c	1169
engine	false	effect_handler_EARTHQUAKE	reference/src/effect-handler-attack.c	1290
engine	false	effect_handler_TAP_UNLIFE	reference/src/effect-handler-attack.c	1615
engine	false	effect_handler_CURSE	reference/src/effect-handler-attack.c	1665
engine	false	effect_handler_JUMP_AND_BITE	reference/src/effect-handler-attack.c	1710
engine	false	effect_handler_MOVE_ATTACK	reference/src/effect-handler-attack.c	1785
engine	false	effect_handler_SINGLE_COMBAT	reference/src/effect-handler-attack.c	1857
engine	false	effect_handler_MELEE_BLOWS	reference/src/effect-handler-attack.c	1907
engine	false	effect_handler_SWEEP	reference/src/effect-handler-attack.c	1955
engine	false	effect_handler_RANDOM	reference/src/effect-handler-general.c	493
engine	false	effect_handler_NOURISH	reference/src/effect-handler-general.c	501
engine	false	effect_handler_CRUNCH	reference/src/effect-handler-general.c	536
engine	false	effect_handler_CURE	reference/src/effect-handler-general.c	549
engine	false	effect_handler_TIMED_SET	reference/src/effect-handler-general.c	561
engine	false	effect_handler_TIMED_INC	reference/src/effect-handler-general.c	576
engine	false	effect_handler_TIMED_INC_NO_RES	reference/src/effect-handler-general.c	647
engine	false	effect_handler_MON_TIMED_INC	reference/src/effect-handler-general.c	667
engine	false	effect_handler_TIMED_DEC	reference/src/effect-handler-general.c	686
engine	false	effect_handler_GLYPH	reference/src/effect-handler-general.c	700
engine	false	effect_handler_WEB	reference/src/effect-handler-general.c	732
engine	false	effect_handler_RESTORE_STAT	reference/src/effect-handler-general.c	773
engine	false	effect_handler_DRAIN_STAT	reference/src/effect-handler-general.c	803
engine	false	effect_handler_LOSE_RANDOM_STAT	reference/src/effect-handler-general.c	852
engine	false	effect_handler_GAIN_STAT	reference/src/effect-handler-general.c	875
engine	false	effect_handler_RESTORE_EXP	reference/src/effect-handler-general.c	893
engine	false	effect_handler_GAIN_EXP	reference/src/effect-handler-general.c	913
engine	false	effect_handler_DRAIN_LIGHT	reference/src/effect-handler-general.c	928
engine	false	effect_handler_DRAIN_MANA	reference/src/effect-handler-general.c	956
engine	false	effect_handler_RESTORE_MANA	reference/src/effect-handler-general.c	1029
engine	false	effect_handler_RECALL	reference/src/effect-handler-general.c	1093
engine	false	effect_handler_DEEP_DESCENT	reference/src/effect-handler-general.c	1163
engine	false	effect_handler_ALTER_REALITY	reference/src/effect-handler-general.c	1184
engine	false	effect_handler_MAP_AREA	reference/src/effect-handler-general.c	1201
engine	false	effect_handler_READ_MINDS	reference/src/effect-handler-general.c	1286
engine	false	effect_handler_DETECT_TRAPS	reference/src/effect-handler-general.c	1321
engine	false	effect_handler_DETECT_DOORS	reference/src/effect-handler-general.c	1398
engine	false	effect_handler_DETECT_STAIRS	reference/src/effect-handler-general.c	1467
engine	false	effect_handler_DETECT_ORE	reference/src/effect-handler-general.c	1519
engine	false	effect_handler_SENSE_GOLD	reference/src/effect-handler-general.c	1682
engine	false	effect_handler_DETECT_GOLD	reference/src/effect-handler-general.c	1699
engine	false	effect_handler_SENSE_OBJECTS	reference/src/effect-handler-general.c	1725
engine	false	effect_handler_DETECT_OBJECTS	reference/src/effect-handler-general.c	1746
engine	false	effect_handler_DETECT_LIVING_MONSTERS	reference/src/effect-handler-general.c	1833
engine	false	effect_handler_DETECT_VISIBLE_MONSTERS	reference/src/effect-handler-general.c	1854
engine	false	effect_handler_DETECT_INVISIBLE_MONSTERS	reference/src/effect-handler-general.c	1874
engine	false	effect_handler_DETECT_FEARFUL_MONSTERS	reference/src/effect-handler-general.c	1893
engine	false	effect_handler_DETECT_EVIL	reference/src/effect-handler-general.c	1911
engine	false	effect_handler_DETECT_SOUL	reference/src/effect-handler-general.c	1929
