status	name	kind	file	line	prodRefs	testRefs	reachableRefs	selfRefs
REF-UNREACHABLE	addFlag	function	packages/core/src/obj/randart-build.ts	585	1	2	0	25
ORPHAN	ELEM_BASE_MAX	const	packages/core/src/obj/types.ts	40	0	0	0	1
TEST-ONLY	pointBuyCost	function	packages/core/src/player/birth.ts	134	0	1	0	1
TEST-ONLY	incrementNameSuffix	function	packages/core/src/player/birth.ts	749	0	1	0	1
TEST-ONLY	historyClear	function	packages/core/src/player/history.ts	60	0	1	0	1
ORPHAN	spellBookCountSpells	function	packages/core/src/player/spell.ts	221	0	0	0	1
ORPHAN	spellOkayToBrowse	function	packages/core/src/player/spell.ts	247	0	0	0	1
TEST-ONLY	randomChanceScaled	function	packages/core/src/rng.ts	426	0	1	0	1
TEST-ONLY	RngStreams	class	packages/core/src/rng.ts	435	0	1	0	1
TEST-ONLY	writeSavefile	function	packages/core/src/save/buffer.ts	207	0	1	0	1
TEST-ONLY	readSavefile	function	packages/core/src/save/buffer.ts	254	0	1	0	1
TEST-ONLY	scoreRows	function	packages/core/src/score/display.ts	111	0	1	0	1
TEST-ONLY	highscoreCount	function	packages/core/src/score/score.ts	191	0	1	0	1
TEST-ONLY	GRAPHICS_MODE_HIGH_ID	const	packages/core/src/visuals/grafmode.ts	91	0	1	0	1
TEST-ONLY	parseTilePrefs	function	packages/core/src/visuals/tile-prefs.ts	411	0	1	0	1
TEST-ONLY	tileForFlavor	function	packages/core/src/visuals/tile-prefs.ts	455	0	1	0	1
TEST-ONLY	tileForProjection	function	packages/core/src/visuals/tile-prefs.ts	464	0	1	0	1
ORPHAN	featIsTorch	function	packages/core/src/world/chunk.ts	90	0	0	0	1
MODULE-UNREACHABLE	main	function	packages/content/src/compile.ts	25	50	11	49	2
MODULE-UNREACHABLE	CORE_NAMESPACE	const	packages/content/src/index.ts	12	0	0	0	1
MODULE-UNREACHABLE	parseSignature	function	packages/content/src/parser.ts	73	2	1	0	1
MODULE-UNREACHABLE	isValidRandom	function	packages/content/src/parser.ts	208	1	1	0	2
MODULE-UNREACHABLE	parseLine	function	packages/content/src/parser.ts	338	2	1	0	1
MODULE-UNREACHABLE	ParseError	class	packages/content/src/parser.ts	46	2	1	0	16
MODULE-UNREACHABLE	compileGamedata	function	packages/content/src/records.ts	155	2	1	0	1
MODULE-UNREACHABLE	dungeonProfileSpec	const	packages/content/src/specs/generate.ts	11	1	0	0	1
MODULE-UNREACHABLE	roomTemplateSpec	const	packages/content/src/specs/generate.ts	29	1	0	0	1
MODULE-UNREACHABLE	vaultSpec	const	packages/content/src/specs/generate.ts	46	1	0	0	1
MODULE-UNREACHABLE	gamedataSpecs	const	packages/content/src/specs/index.ts	58	2	1	0	1
MODULE-UNREACHABLE	constantsSpec	const	packages/content/src/specs/init.ts	11	1	0	0	1
MODULE-UNREACHABLE	worldSpec	const	packages/content/src/specs/init.ts	38	1	0	0	1
MODULE-UNREACHABLE	playerPropertySpec	const	packages/content/src/specs/init.ts	45	1	0	0	1
MODULE-UNREACHABLE	namesSpec	const	packages/content/src/specs/init.ts	59	1	0	0	1
MODULE-UNREACHABLE	trapSpec	const	packages/content/src/specs/init.ts	69	1	0	0	1
MODULE-UNREACHABLE	terrainSpec	const	packages/content/src/specs/init.ts	96	1	0	0	1
MODULE-UNREACHABLE	bodySpec	const	packages/content/src/specs/init.ts	120	1	0	0	1
MODULE-UNREACHABLE	historySpec	const	packages/content/src/specs/init.ts	130	1	0	0	1
MODULE-UNREACHABLE	pRaceSpec	const	packages/content/src/specs/init.ts	140	1	0	0	1
MODULE-UNREACHABLE	realmSpec	const	packages/content/src/specs/init.ts	170	1	0	0	1
MODULE-UNREACHABLE	shapeSpec	const	packages/content/src/specs/init.ts	183	1	0	0	1
MODULE-UNREACHABLE	classSpec	const	packages/content/src/specs/init.ts	210	1	0	0	1
MODULE-UNREACHABLE	flavorSpec	const	packages/content/src/specs/init.ts	250	1	0	0	1
MODULE-UNREACHABLE	hintsSpec	const	packages/content/src/specs/init.ts	261	1	0	0	1
MODULE-UNREACHABLE	summonSpec	const	packages/content/src/specs/misc.ts	12	1	0	0	1
MODULE-UNREACHABLE	chestTrapSpec	const	packages/content/src/specs/misc.ts	27	1	0	0	1
MODULE-UNREACHABLE	questSpec	const	packages/content/src/specs/misc.ts	45	1	0	0	1
MODULE-UNREACHABLE	playerTimedSpec	const	packages/content/src/specs/misc.ts	62	1	0	0	1
MODULE-UNREACHABLE	storeSpec	const	packages/content/src/specs/misc.ts	94	1	0	0	1
