#6671	2026-07-19	SPOT effect triggering sanitizer	[]
#6668	2026-07-15	Borg Should Use Oil	[]
#6666	2026-07-06	Ignored items and the =g inscription	[]
#6640	2026-05-22	Audit for inconsistent types used to record the same type of information	[C: Main game]
#6608	2026-04-21	license clarification of Adam Bolt's tileset, fonts	[]
#6599	2026-04-19	"cmake --build path-to-build -t clean" does not affect coverage byproducts	[C: Build; P: low; T: bug]
#6586	2026-04-13	Asynchronous signal handling	[]
#6585	2026-04-12	Additional room templates with books?	[C: Gameplay]
#6564	2026-03-31	Autoexplore Autopickup	[]
#6555	2026-03-25	macOS - NSLog() as plog() backend is not very useful	[C: Interface; C: Port-specific]
#6549	2026-03-22	Shockbolt tiles:  label and icon for bookseller tile	[C: Interface]
#6545	2026-03-17	Missing tile assignments: old set	[C: Interface]
#6544	2026-03-17	Missing tile assignments: Adam Bolt's set	[C: Interface]
#6542	2026-03-17	Missing tile assignments: Shockbolt's set	[C: Interface]
#6541	2026-03-17	Missing tile assignments: Gervais's set	[C: Interface]
#6540	2026-03-17	Missing tile assignments:  Nomad's set	[C: Interface]
#6537	2026-03-11	Save, exit, and then reload can perturb the state of the random number generator	[C: Main game; P: low]
#6533	2026-03-07	"Bad effect passed to effect_do()"	[]
#6517	2026-02-08	Supercharging and data files	[]
#6515	2026-02-03	Borg Died Failing to Zap a Rod of Healing with Numerous Potions Available	[]
#6512	2026-02-01	Separate tval  for throwing items	[C: Main game]
#6510	2026-01-30	Release workflow: user manual and Nintendo zip files	[C: Port-specific; C: Project admin]
#6480	2025-12-31	Other user interface layering violations in the debugging commands	[C: Interface; P: low]
#6466	2025-12-23	Implement quit()'s quit_aux with a stack of hooks	[C: Main game; P: low; T: enhancement]
#6441	2025-12-15	Presentation of drain life melee attacks in monster lore	[C: Interface; T: enhancement]
#6435	2025-12-13	Mouse limitations when targeting	[C: Interface]
#6357	2025-08-27	Charge and timeout information on known version of object	[]
#6340	2025-08-13	doxygen: misleading entries in references links	[]
#6323	2025-08-01	Multiple Desktops on Windows Behavior Wrong	[C: Port-specific]
#6313	2025-07-23	Change the colour of a parameter when it’s buffed	[]
#6308	2025-07-19	modifier+numpad direction does nothing when numlock is on	[C: Interface; C: Port-specific]
#6294	2025-07-10	Bounds of map displayed by 'M'	[]
#6290	2025-07-02	I like this game very much. How can I translate it to make it support multiple languages?	[]
#6246	2025-05-30	Show level feeling on finding artifact	[]
#6210	2025-04-04	Curse level for intentionally bad randarts	[]
#6203	2025-03-22	Activations for black and white dragon breaths	[]
#6197	2025-03-12	Freeze in Windows version	[]
#6163	2025-01-15	Variable Not Define yet?	[]
#6157	2024-12-18	SIGABRT 	[]
#6124	2024-10-30	Direction of effect animations	[C: Interface; T: enhancement]
#6122	2024-10-30	Borg Should Pursue Uniques More Aggressively	[]
#6089	2024-10-11	Feature Request:  When using debug mode to create monsters, ignore accent marks.	[]
#6053	2024-09-15	SDL2: Sometimes clicking "Quit" menu item the first time does nothing	[]
#6050	2024-09-14	SDL2: Main window's Fullscreen toggle does nothing (Windows 11)	[C: Port-specific]
#6022	2024-08-18	SIGSEGV when you die	[]
#5984	2024-06-24	Randarts: interaction between rescale_freqs() and try_supercharge()	[]
#5952	2024-04-14	Angband-4.2.5 sometimes doesn't start	[C: Port-specific]
#5931	2024-03-14	macOS crash in map_info()	[]
#5843	2024-01-17	SDL2: allow hiding of menu bar	[C: Interface; C: Port-specific; T: enhancement]
#5709	2023-07-24	Clarify how ODESC_PREFIX and ODESC_SINGULAR interact	[]
#5629	2023-03-13	Flatpak Package, Seperate Repo or PR it Here?	[]
#5592	2022-12-17	SDL2: Occasional crash setting Tiles to None (main-sdl2.c line 4023 "graphics.texture != NULL")	[C: Interface; C: Port-specific]
#5591	2022-12-17	SDL2: Tile texture duplicated below status bar when switch from 16x16x to 12x24x font with Tile height 3+	[C: Interface; C: Port-specific]
#5520	2022-10-28	Monster spell exclusion for spells with multiple effects	[C: Gameplay]
#5512	2022-10-24	MSYS2 & Cygwin/X SDL2: Game frozen when switch displays	[C: Port-specific]
#5510	2022-10-24	Windows front end, Gervais tileset: Characters, items, tiles flicker black, out of position at 4x4 size	[C: Port-specific]
#5501	2022-10-19	SDL2: Shockbolt Dark tiles display at their 64x64 resolution only with 8x8 or 16x16 font	[C: Port-specific]
#5500	2022-10-19	Windows Standard front end: "Enable nice graphics" makes tiles too small & narrow at font size 10x20 or smaller	[C: Port-specific]
#5499	2022-10-18	Consider using UTF-32 (stored as uint32_t) rather than wchar_t as the format for converted text	[]
#5497	2022-10-16	MSYS2 SDL2: Game screen blank after Windows lock screen	[C: Port-specific]
#5496	2022-10-16	MSYS SDL2: Overall SFX volume a little low; some sound effects jarringly loud	[C: Port-specific]
#5438	2022-07-25	Rogue-like keyset control commands and inscription checking	[]
#5417	2022-07-06	Should escaping from select spell return the player to cast from book?	[]
#5416	2022-07-06	Cast from book should allow cancel/confirm via movement keys	[]
#5414	2022-07-06	Updating the Ubuntu repositories?	[]
#5346	2022-04-22	Monster will try a door instead of open space	[]
#5340	2022-04-20	Throwing shots vs shooting them with sling	[]
#5297	2022-02-12	feature request: interrupt on light=>dark transition	[]
#5293	2022-01-28	Locked secret doors	[C: Gameplay; P: low]
#5219	2021-12-25	In default builds, match "datapath" to layout of lib/	[]
#5206	2021-12-21	Salvage old documentation	[C: Documentation; C: Project admin]
#5194	2021-12-16	Osx 12.1 app always asks for permission to access Documents	[C: Port-specific]
#5167	2021-12-05	Details of monster targeting a decoy	[]
#5141	2021-11-12	Angband's title and menu bars remain dark text on light ground when Windows is in Dark color mode	[C: Interface; C: Port-specific]
#5095	2021-10-05	MOVES for monsters	[]
#5063	2021-08-27	Crash while monster commanded	[]
#4984	2021-08-01	Specific key codes shouldn't be hard-coded	[C: Interface]
#4934	2021-07-24	Function chains and use of the player and cave globals	[]
#4917	2021-07-18	Check monster hold from lack of escape behaviour	[]
#4869	2021-06-19	Official Angband site (i.e. replacement for `rephial.org`)	[]
#4860	2021-06-13	Magic inscriptions need replacing with something better	[]
#4827	2021-05-26	monster hit/death code is fragmented	[C: Main game]
#4803	2021-05-17	There's a lot of hard-coded constants in to-hit and critical calculations	[T: enhancement]
#4723	2021-04-16	Bad interaction with confirmation inscriptions and keymaps	[]
#4680	2021-03-17	Uniques not registered as known although killed	[]
#4666	2021-03-06	Thrown items in quiver: changing inscriptions can trigger pack overflow	[]
#4664	2021-03-02	Object list is not always correctly ordered	[]
#4605	2020-12-03	Noise and scent not saved so restarting from a save can change monster behavior	[]
#4586	2020-11-20	Use FAangband's quest system	[]
#4580	2020-11-09	Visual Studio instructions - encoding	[C: Port-specific; C: Project admin]
#4510	2020-08-15	Duplicate artifacts	[]
#4451	2020-07-01	Systematic Recognition of Temp Resists	[]
#4444	2020-06-12	Monsters not attacking	[]
#4394	2020-05-04	Thank you..!	[]
#4337	2020-03-31	Cosmetic:  background for rubble with David Gervais's or Shockbolt's tiles	[C: Interface; T: enhancement]
#4318	2020-03-17	Symbol lookup	[C: Interface; P: low; T: enhancement]
#4296	2020-02-22	Improve color-cycling	[C: Interface; T: enhancement]
#4261	2020-01-22	Auto-inscribe equipment items with summary of resistances, flags, and bonuses	[C: Interface; T: change]
#4245	2020-01-12	Unique coming back to life?	[T: bug]
#4241	2020-01-12	Improve documentation	[T: enhancement]
#4233	2020-01-12	More tiering of status effects	[T: change]
#4225	2020-01-12	Pile integrity failure crash	[T: bug]
#4207	2020-01-12	No Shockbolt tiles for new dwarves	[T: bug]
#4189	2020-01-12	Lore has some black spells	[T: bug]
#4187	2020-01-12	SDL2 possible memory problems	[T: bug]
#4164	2020-01-12	Flicker on shapechange	[T: change]
#4162	2020-01-12	Standardise order of lines in data files	[T: enhancement]
#4154	2020-01-12	Careful check of monster movement AI vs 4GAI	[T: enhancement]
#4105	2020-01-12	PowerWyrm's pathfinding improvements	[T: change]
#4101	2020-01-12	Randarts reported of wrong type in history	[T: bug]
#4052	2020-01-12	Strange door placement	[T: bug]
#4009	2020-01-12	OSX crash on moving monster list window	[T: bug]
#3987	2020-01-12	Missing messages	[T: bug]
#3896	2020-01-12	Restoring "highlight player with cursor" would improve accessibility	[T: change]
#3874	2020-01-12	Get rid of z-virt	[T: change]
#3857	2020-01-12	Rename potions of Intellect	[T: enhancement]
#3809	2020-01-12	Make caverns have a better risk:reward ratio	[T: change]
#3788	2020-01-12	Add a buildbot builder to exercise the build system	[T: enhancement]
#3781	2020-01-12	Graphical touches to add to the ASCII interface	[T: change]
#3633	2020-01-11	Add libtermkey to the GCU port	[T: change]
#3624	2020-01-11	Use new character glyphs	[T: change]
#3599	2020-01-11	Fix curly braces, space indenting, line endings, and trailing whitespace	[T: enhancement]
#3598	2020-01-11	Improve package scripts	[T: enhancement]
#3593	2020-01-11	Remove the various huge *_info arrays, thus removing the need for maxima	[T: change]
#3578	2020-01-11	Save entire message history	[T: change]
#3572	2020-01-11	Finish visual editing UI	[T: change]
#3571	2020-01-11	Create a master message buffer	[T: enhancement]
#3568	2020-01-11	Replace indices in function calls with pointers	[T: enhancement]
#3552	2020-01-11	Make chests more interesting	[T: change]
#3545	2020-01-11	Improve stats collection for items	[T: change]
#3528	2020-01-11	Rework Banishment	[T: change]
#3526	2020-01-11	Improve the run command	[T: change]
#3522	2020-01-11	Document pref file syntax & fix in-game interfaces	[T: bug]
#3512	2020-01-11	Set bonuses for artifacts	[T: change]
#3499	2020-01-11	[Proposal] Monster Recall Highlighting for Troublesome Monsters	[T: change]
#3481	2020-01-11	Smooth-scrolling tiles	[T: change]
#3479	2020-01-11	Monster-specific ESP	[T: change]
#3448	2020-01-11	Copyright notices are inconsistent.	[T: enhancement]
#3403	2020-01-11	Add more mimic/lurker types	[T: change]
#3399	2020-01-11	Rewrite target.c so it's less hideous	[T: change]
#3374	2020-01-11	Create savefile loader testsuite	[T: enhancement]
#3367	2020-01-11	Remove 'b'rowse command	[T: change]
#3359	2020-01-11	Remove cheat options, move them to wizard mode	[T: change]
#3357	2020-01-11	SDL: better font selection	[T: change]
#3351	2020-01-11	Allow --with-varpath to override PRIVATE_USER_DIR	[T: bug]
#3347	2020-01-11	Make status effects more interesting	[T: change]
#3339	2020-01-11	Switch to ttf fonts in SDL port	[T: change]
#3304	2020-01-11	Replace +blows with -epb	[T: change]
#3303	2020-01-11	Improve -mgcu behaviour in 16-colour xterms	[T: change]
#3246	2020-01-11	Suggestion for change to monster memory display format	[T: change]
#3239	2020-01-11	Collect stats on randarts	[T: enhancement]
#3236	2020-01-11	Press a key to make @ flash briefly	[T: change]
#3192	2020-01-11	Use a more accurate distance function	[T: change]
#3188	2020-01-11	Use Sparkle for automatic game updates on OS X	[T: enhancement]
#3089	2020-01-11	Granular ESP	[T: change]
#3080	2020-01-11	Rewrite randart.c for fully comprehensive tracking of combinations	[T: change]
#2999	2020-01-11	Accessibility: add a directional look command	[T: change]
#2990	2020-01-11	Curses: Aggravate should aggravate less	[T: change]
#2950	2020-01-10	Check for format-string based security holes	[T: enhancement]
#2932	2020-01-10	Insribing objects Max=#	[T: change]
#2881	2020-01-10	Savefile improvements	[T: enhancement]
#2854	2020-01-10	Experiment with mana allocation & regen	[T: change]
#2849	2020-01-10	Assess distance of missile weapons and magics	[T: change]
#2843	2020-01-10	Assertions	[T: enhancement]
#2839	2020-01-10	Document and improve debug commands	[T: change]
#2830	2020-01-10	More flexible windowing in the gcu-port	[T: change]
#2827	2020-01-10	Work out some better display for the disarming skill on 'C' screen	[T: change]
#2798	2020-01-10	Rationalize damage/effects simultaneously applied	[T: change]
#2746	2020-01-10	Use binary search instead of iteration in alloc tables	[T: enhancement]
#2731	2020-01-10	Get valgrind reporting that all memory is properly freed at game exit	[T: enhancement]
#2708	2020-01-10	.ini file reading/writing on Windows is extremely inefficient	[T: bug]
#2690	2020-01-10	Using the Mouse to look around.	[T: change]
#2672	2020-01-10	Improve monster drop functionality	[T: change]
#2671	2020-01-10	Linearise the stat system	[T: change]
#2658	2020-01-10	Allow restriction of auto pickup to consumables	[T: change]
#2574	2020-01-10	Using the new flavours proposed on the forum?	[T: change]
#2557	2020-01-10	Add new curses: pval-flipping curse	[T: change]
#2512	2020-01-10	Add timed detections (i.e. non-monster ESP)	[T: change]
#2508	2020-01-10	Import UnAngband's easy_more option	[T: change]
#2471	2020-01-10	Too many hacks?	[T: enhancement]
#2466	2020-01-10	New panel change behaviour	[T: change]
#2448	2020-01-10	Add keep_room_on_screen option	[T: change]
#2436	2020-01-10	Collect stats on player	[T: change]
#2408	2020-01-10	Consider allowing user "notes" in various places in the game	[T: change]
#2394	2020-01-10	Remove monster AI options, replace with flag-controlled AI	[T: change]
#2392	2020-01-10	Add option to not autopickup with monsters in LOS	[T: change]
#2371	2020-01-10	Mini-map overlay/seperate window	[]
#2324	2020-01-10	Automatic hiding of sidebar and statusbar	[T: change]
#2317	2020-01-10	Add support for paragraphs to textblock	[]
#2277	2020-01-10	Full mouse playability	[P: normal; T: change]
#2230	2020-01-10	Don't use C reserved identifiers	[P: normal; T: bug]
#2201	2020-01-09	Better keymap UI	[C: Main game; P: normal; T: change]
#2193	2020-01-09	Outstanding menus to fix	[C: Main game; P: normal; T: enhancement]
#2179	2020-01-09	Always use numbers for the labels of spellbooks in the inventory	[C: Main game; P: low]
